name,category,description,price_sek,product_url
IVÖSJÖN,Bathroom shelving units,"Cabinet with doors, green, 33x34x99 cm",249,https://www.ikea.com/se/en/p/ivoesjoen-cabinet-with-doors-green-30569095/
STOCKHOLM 2025,Two-seat sofas,"2-seat sofa, Alhamn dark brown",8495,https://www.ikea.com/se/en/p/stockholm-2025-2-seat-sofa-alhamn-dark-brown-90591748/
VESKEN,Bathroom trolleys,"Trolley, white, 54x18x71 cm",99,https://www.ikea.com/se/en/p/vesken-trolley-white-00471222/
IVÖSJÖN,Mirror cabinets,"Mirror cabinet with 1 door, green, 44x15x59 cm",199,https://www.ikea.com/se/en/p/ivoesjoen-mirror-cabinet-with-1-door-green-10569096/
GULLIVER,Changing tables,"Changing table, white",899,https://www.ikea.com/se/en/p/gulliver-changing-table-white-20307037/
